"names","coefficients","sign"
"var38",0.66686833496895,"NEG"
"num_var42",0.520401009967597,"NEG"
"num_meses_var5_ult3",0.520127177209702,"NEG"
"ind_var13",0.492271080009837,"NEG"
"var15",0.4874175795556,"POS"
"ind_var30",0.471898144103313,"NEG"
"num_var5",0.440839784723632,"POS"
"saldo_medio_var8_hace2",0.408756639456574,"NEG"
"saldo_var5",0.361571770170216,"NEG"
"saldo_medio_var8_ult1",0.349585192817355,"NEG"
"saldo_medio_var8_ult3",0.289542642046172,"POS"
"n0",0.285301290221293,"NEG"
"num_meses_var13_largo_ult3",0.273053581721024,"NEG"
"ind_var17",0.260039613731202,"POS"
"num_meses_var17_ult3",0.256274802566368,"NEG"
"num_var30",0.252931844133063,"POS"
"num_aport_var13_hace3",0.199228039014139,"NEG"
"saldo_medio_var8_hace3",0.19687348058476,"NEG"
"ind_var30_0",0.177329383486974,"POS"
"num_meses_var39_vig_ult3",0.152327126956626,"POS"
"num_var40_0",0.149087656030387,"POS"
"delta_imp_reemb_var17_1y3",0.137392524698846,"NEG"
"num_var1_0",0.13571479972015,"POS"
"imp_op_var41_comer_ult3",0.135343595850498,"NEG"
"num_reemb_var17_ult1",0.128223170577432,"POS"
"saldo_medio_var13_corto_hace2",0.12809348376223,"POS"
"num_compra_var44_ult1",0.127780273389207,"NEG"
"saldo_var30",0.120766708681801,"NEG"
"num_meses_var44_ult3",0.120705448279276,"NEG"
"num_var22_ult3",0.117282116058718,"POS"
"ind_var33_0",0.116243325469981,"NEG"
"num_var31_0",0.112708117890051,"NEG"
"num_var43_recib_ult1",0.112347886011381,"NEG"
"imp_aport_var13_ult1",0.107356812030239,"NEG"
"ind_var1_0",0.107146940471715,"NEG"
"ind_var39_0",0.106418606960965,"NEG"
"num_var24",0.104963677060898,"NEG"
"ind_var24",0.102649145997004,"NEG"
"ind_var40_0",0.100581992931397,"NEG"
"ind_var26_cte",0.100187368322565,"POS"
"saldo_medio_var5_ult1",0.0980056769830131,"NEG"
"saldo_var14",0.0971935666586077,"NEG"
"num_var20_0",0.0971699531479554,"NEG"
"ind_var20_0",0.0971699531478754,"NEG"
"saldo_medio_var5_hace2",0.0935967511551411,"NEG"
"saldo_medio_var5_hace3",0.0910577075974559,"NEG"
"ind_var8_0",0.090341245131726,"POS"
"num_var4",0.0891321866030965,"NEG"
"imp_var43_emit_ult1",0.0853747736248695,"POS"
"var21",0.0836140436725171,"NEG"
"num_op_var40_hace2",0.080848913829757,"NEG"
"imp_op_var41_comer_ult1",0.0807666592340924,"POS"
"num_var22_ult1",0.0797624236348729,"POS"
"saldo_var42",0.0765303837154193,"NEG"
"imp_op_var41_ult1",0.0759698957634195,"POS"
"num_meses_var12_ult3",0.07494835742584,"POS"
"ind_var26_0",0.0734176091354988,"NEG"
"num_var39_0",0.0724140237830037,"NEG"
"saldo_medio_var12_hace3",0.0710066063486934,"NEG"
"ind_var5",0.0705024795692386,"POS"
"imp_op_var39_comer_ult1",0.0680107672854472,"POS"
"imp_reemb_var13_ult1",0.0672618230681623,"POS"
"imp_op_var39_comer_ult3",0.066651087354981,"NEG"
"delta_imp_aport_var13_1y3",0.0665372559156607,"POS"
"delta_num_aport_var13_1y3",0.0665372559150131,"POS"
"ind_var8",0.062650560978461,"POS"
"num_var8",0.0626505609784437,"POS"
"var3",0.062220810870913,"POS"
"saldo_var44",0.0618673562931683,"POS"
"num_op_var40_comer_ult1",0.0612396165049981,"NEG"
"num_op_var40_ult1",0.0556312856692249,"POS"
"num_meses_var8_ult3",0.0552411173712597,"NEG"
"num_var8_0",0.0540091292294009,"POS"
"delta_num_compra_var44_1y3",0.0515211058228303,"POS"
"delta_imp_compra_var44_1y3",0.0515211058225189,"POS"
"imp_op_var39_ult1",0.0512318491194846,"POS"
"num_var22_hace2",0.0508738895136159,"POS"
"delta_num_aport_var17_1y3",0.0487065858890725,"NEG"
"delta_imp_aport_var17_1y3",0.0487065858854816,"NEG"
"ind_var12_0",0.0483473244722653,"NEG"
"imp_op_var40_ult1",0.0482750500950781,"NEG"
"ind_var32_0",0.0477643021409988,"NEG"
"num_var45_hace3",0.0476145922963823,"POS"
"num_var17_0",0.0457732823792087,"NEG"
"ind_var43_recib_ult1",0.0456920936032369,"NEG"
"num_var35",0.0455915369513994,"NEG"
"num_med_var22_ult3",0.0448921136223472,"NEG"
"num_ent_var16_ult1",0.0433459926466311,"POS"
"num_var45_ult1",0.0419242743193938,"POS"
"num_op_var39_efect_ult3",0.0403345377717346,"POS"
"saldo_var25",0.0388441758817308,"NEG"
"num_op_var41_ult1",0.0387206318792329,"NEG"
"saldo_medio_var13_corto_hace3",0.0385698502781606,"NEG"
"num_var42_0",0.0375558339708388,"POS"
"num_var37_med_ult2",0.0375174005076598,"NEG"
"saldo_var26",0.0360325021930618,"NEG"
"ind_var31",0.0359688788390169,"POS"
"var36",0.0357341210541826,"POS"
"delta_imp_reemb_var13_1y3",0.0354761200308133,"NEG"
"num_reemb_var13_ult1",0.0354761200308118,"NEG"
"num_var5_0",0.0349663253901036,"POS"
"saldo_var40",0.034044554490094,"POS"
"num_op_var41_hace2",0.0330969440410488,"POS"
"imp_op_var41_efect_ult3",0.0328740392291657,"NEG"
"num_op_var41_efect_ult3",0.0327800689037986,"POS"
"num_trasp_var11_ult1",0.0319865710818118,"NEG"
"num_med_var45_ult3",0.0319146221024979,"NEG"
"num_op_var41_comer_ult3",0.031666993596504,"POS"
"num_op_var39_comer_ult1",0.0313469466375574,"NEG"
"imp_op_var40_efect_ult3",0.0313322119447193,"POS"
"num_var45_ult3",0.0300114347164923,"POS"
"num_var22_hace3",0.0294107331505913,"POS"
"num_sal_var16_ult1",0.0281689393619991,"POS"
"saldo_medio_var44_hace2",0.0280193077185533,"NEG"
"ind_var43_emit_ult1",0.0277346463025363,"NEG"
"delta_num_venta_var44_1y3",0.02693786021594,"NEG"
"delta_imp_venta_var44_1y3",0.0269378602158648,"NEG"
"imp_op_var39_efect_ult3",0.0259026316618855,"NEG"
"ind_var31_0",0.0241709255177406,"NEG"
"saldo_var8",0.0217571816310955,"NEG"
"imp_aport_var13_hace3",0.0214675014326591,"NEG"
"ind_var13_corto_0",0.021284798233596,"POS"
"ind_var25_0",0.0211758130387392,"NEG"
"imp_reemb_var17_ult1",0.0196554079381817,"POS"
"num_var43_emit_ult1",0.0192995684407415,"NEG"
"saldo_medio_var13_corto_ult1",0.0181127569785463,"NEG"
"imp_var7_recib_ult1",0.0172040688213693,"NEG"
"ind_var32_cte",0.0162530034630733,"POS"
"saldo_var37",0.0161812513517321,"POS"
"num_var32_0",0.0161264350227681,"NEG"
"ind_var14",0.0155421609743453,"POS"
"imp_trans_var37_ult1",0.0155163670039093,"NEG"
"imp_op_var40_efect_ult1",0.0151875922729198,"NEG"
"num_op_var39_efect_ult1",0.0151249863303884,"NEG"
"num_op_var39_hace2",0.0149174432561686,"POS"
"ID",0.0140218631063946,"POS"
"num_op_var39_comer_ult3",0.0139570588909245,"POS"
"num_var25_0",0.0133818226290532,"POS"
"num_var13_largo_0",0.0133052356605227,"NEG"
"saldo_medio_var17_ult3",0.0116078470693087,"NEG"
"num_op_var40_efect_ult3",0.0114132479970683,"POS"
"ind_var6_0",0.0113581881654403,"NEG"
"num_var6_0",0.0113581881654386,"NEG"
"ind_var7_recib_ult1",0.01019269677014,"POS"
"saldo_medio_var44_ult1",0.0100694669567271,"NEG"
"ind_var37_cte",0.00838847705511336,"NEG"
"num_op_var40_efect_ult1",0.00820465836375496,"NEG"
"imp_ent_var16_ult1",0.00811510914528295,"POS"
"saldo_var32",0.00770811555202823,"POS"
"ind_var9_ult1",0.00681572599385959,"POS"
"num_op_var41_comer_ult1",0.0064210548735926,"NEG"
"imp_sal_var16_ult1",0.00626892554878924,"NEG"
"ind_var37_0",0.00615344067465663,"POS"
"num_op_var39_ult1",0.00605212178958116,"NEG"
"num_var14",0.0056890209029206,"POS"
"num_op_var39_hace3",0.00537300461626836,"NEG"
"num_var37_0",0.00521585954568422,"POS"
"ind_var7_emit_ult1",0.00464022652744525,"NEG"
"num_var7_emit_ult1",0.00464022652744366,"NEG"
"num_var14_0",0.00452851450969764,"POS"
"delta_imp_amort_var18_1y3",0.00392762168251769,"NEG"
"num_var18_0",0.00392762168251676,"NEG"
"ind_var18_0",0.0039276216825165,"NEG"
"num_op_var41_efect_ult1",0.00336031436200372,"NEG"
"saldo_medio_var12_hace2",0.00333590080446366,"POS"
"num_var34_0",0.00285416101704794,"NEG"
"ind_var34_0",0.0028541610170477,"NEG"
"delta_imp_amort_var34_1y3",0.00285416101704734,"NEG"
"num_op_var41_hace3",0.00205190674564726,"NEG"
"ind_var17_0",0.00118586251109459,"NEG"
"num_trasp_var17_in_ult1",0.00114796698256611,"NEG"
"delta_imp_trasp_var17_in_1y3",0.00114796697958206,"NEG"
"num_var24_0",0.000948994173408147,"NEG"
"num_meses_var13_medio_ult3",0.0006403352243918,"NEG"
"ind_var13_medio_0",0.000640335224391397,"NEG"
"num_var13_medio_0",0.000640335224390602,"NEG"
"saldo_medio_var13_medio_hace2",0.000494975613303494,"NEG"
"saldo_medio_var17_ult1",0.000171219672159474,"NEG"
"ind_var6",9.53401416543273e-05,"NEG"
"num_var6",9.53401416541478e-05,"NEG"
"imp_op_var40_comer_ult1",0,"POS"
"imp_op_var40_comer_ult3",0,"POS"
"imp_op_var41_efect_ult1",0,"POS"
"imp_op_var39_efect_ult1",0,"POS"
"ind_var1",0,"POS"
"ind_var5_0",0,"POS"
"ind_var12",0,"POS"
"ind_var13_0",0,"POS"
"ind_var13_corto",0,"POS"
"ind_var13_largo_0",0,"POS"
"ind_var13_largo",0,"POS"
"ind_var14_0",0,"POS"
"ind_var19",0,"POS"
"ind_var20",0,"POS"
"ind_var24_0",0,"POS"
"ind_var25_cte",0,"POS"
"ind_var33",0,"POS"
"ind_var40",0,"POS"
"ind_var41_0",0,"POS"
"ind_var44_0",0,"POS"
"ind_var44",0,"POS"
"num_var1",0,"POS"
"num_var12_0",0,"POS"
"num_var12",0,"POS"
"num_var13_0",0,"POS"
"num_var13_corto_0",0,"POS"
"num_var13_corto",0,"POS"
"num_var13_largo",0,"POS"
"num_var13",0,"POS"
"num_var17",0,"POS"
"num_var20",0,"POS"
"num_var26_0",0,"POS"
"num_op_var40_hace3",0,"POS"
"num_op_var40_ult3",0,"POS"
"num_op_var41_ult3",0,"POS"
"num_op_var39_ult3",0,"POS"
"num_var30_0",0,"POS"
"num_var31",0,"POS"
"num_var33_0",0,"POS"
"num_var33",0,"POS"
"num_var40",0,"POS"
"num_var41_0",0,"POS"
"num_var44_0",0,"POS"
"num_var44",0,"POS"
"saldo_var1",0,"POS"
"saldo_var6",0,"POS"
"saldo_var12",0,"POS"
"saldo_var13_corto",0,"POS"
"saldo_var13_largo",0,"POS"
"saldo_var13_medio",0,"POS"
"saldo_var13",0,"POS"
"saldo_var17",0,"POS"
"saldo_var18",0,"POS"
"saldo_var20",0,"POS"
"saldo_var24",0,"POS"
"saldo_var31",0,"POS"
"saldo_var33",0,"POS"
"saldo_var34",0,"POS"
"delta_imp_aport_var33_1y3",0,"POS"
"delta_imp_reemb_var33_1y3",0,"POS"
"delta_imp_trasp_var17_out_1y3",0,"POS"
"delta_imp_trasp_var33_in_1y3",0,"POS"
"delta_imp_trasp_var33_out_1y3",0,"POS"
"delta_num_aport_var33_1y3",0,"POS"
"imp_amort_var18_ult1",0,"POS"
"imp_amort_var34_ult1",0,"POS"
"imp_aport_var17_hace3",0,"POS"
"imp_aport_var17_ult1",0,"POS"
"imp_aport_var33_hace3",0,"POS"
"imp_aport_var33_ult1",0,"POS"
"imp_var7_emit_ult1",0,"POS"
"imp_compra_var44_hace3",0,"POS"
"imp_compra_var44_ult1",0,"POS"
"imp_reemb_var17_hace3",0,"POS"
"imp_reemb_var33_ult1",0,"POS"
"imp_trasp_var17_in_hace3",0,"POS"
"imp_trasp_var17_in_ult1",0,"POS"
"imp_trasp_var17_out_ult1",0,"POS"
"imp_trasp_var33_in_hace3",0,"POS"
"imp_trasp_var33_in_ult1",0,"POS"
"imp_trasp_var33_out_ult1",0,"POS"
"imp_venta_var44_hace3",0,"POS"
"imp_venta_var44_ult1",0,"POS"
"ind_var10_ult1",0,"POS"
"ind_var10cte_ult1",0,"POS"
"ind_var9_cte_ult1",0,"POS"
"num_aport_var13_ult1",0,"POS"
"num_aport_var17_hace3",0,"POS"
"num_aport_var17_ult1",0,"POS"
"num_aport_var33_hace3",0,"POS"
"num_aport_var33_ult1",0,"POS"
"num_var7_recib_ult1",0,"POS"
"num_compra_var44_hace3",0,"POS"
"num_meses_var13_corto_ult3",0,"POS"
"num_meses_var29_ult3",0,"POS"
"num_meses_var33_ult3",0,"POS"
"num_op_var40_comer_ult3",0,"POS"
"num_reemb_var17_hace3",0,"POS"
"num_reemb_var33_ult1",0,"POS"
"num_trasp_var17_in_hace3",0,"POS"
"num_trasp_var17_out_ult1",0,"POS"
"num_trasp_var33_in_hace3",0,"POS"
"num_trasp_var33_in_ult1",0,"POS"
"num_trasp_var33_out_ult1",0,"POS"
"num_venta_var44_hace3",0,"POS"
"num_venta_var44_ult1",0,"POS"
"num_var45_hace2",0,"POS"
"saldo_medio_var5_ult3",0,"POS"
"saldo_medio_var12_ult1",0,"POS"
"saldo_medio_var12_ult3",0,"POS"
"saldo_medio_var13_corto_ult3",0,"POS"
"saldo_medio_var13_largo_hace2",0,"POS"
"saldo_medio_var13_largo_hace3",0,"POS"
"saldo_medio_var13_largo_ult1",0,"POS"
"saldo_medio_var13_largo_ult3",0,"POS"
"saldo_medio_var13_medio_ult3",0,"POS"
"saldo_medio_var17_hace2",0,"POS"
"saldo_medio_var17_hace3",0,"POS"
"saldo_medio_var29_hace2",0,"POS"
"saldo_medio_var29_hace3",0,"POS"
"saldo_medio_var29_ult1",0,"POS"
"saldo_medio_var29_ult3",0,"POS"
"saldo_medio_var33_hace2",0,"POS"
"saldo_medio_var33_hace3",0,"POS"
"saldo_medio_var33_ult1",0,"POS"
"saldo_medio_var33_ult3",0,"POS"
"saldo_medio_var44_hace3",0,"POS"
"saldo_medio_var44_ult3",0,"POS"
"",NA,NA
