"variable","relative_importance","scaled_importance","percentage"
"var15",10909.0517578125,1,0.148798832359088
"ID",2659.28442382812,0.243768613704091,0.0362724850849623
"num_meses_var5_ult3",2206.24829101562,0.20224015248948,0.0300930985465585
"num_var4",1848.6728515625,0.169462286237534,0.0252157903210467
"num_var35",1719.08117675781,0.157583006747282,0.0234481674036298
"num_var22_ult3",1535.74816894531,0.14077742071812,0.0209475158253803
"num_var30",1507.79919433594,0.138215422184254,0.0205662934350355
"var38",1505.36340332031,0.137992140539827,0.0205330693870575
"num_var42",1481.63098144531,0.135816660727111,0.0202093605311045
"ind_var30",1343.49267578125,0.123153937263072,0.0183251620651696
"num_var45_ult3",1282.47436523438,0.117560572055764,0.0174928758533641
"num_var45_hace3",1276.70922851562,0.11703209929326,0.01741423972337
"num_var45_hace2",1242.11157226562,0.113860636088383,0.0169423297016145
"num_meses_var39_vig_ult3",1196.62353515625,0.109690884388672,0.0163218755174701
"num_var22_hace3",1194.80212402344,0.109523921102288,0.0162970315754094
"num_var22_ult1",1191.45703125,0.109217286497586,0.0162514047042688
"num_var22_hace2",1164.24267578125,0.106722628293287,0.0158802024763341
"num_med_var45_ult3",1088.37194824219,0.099767786642203,0.0148453301594105
"num_var5",1064.62060546875,0.0975905724075719,0.0145213632235017
"num_var45_ult1",1023.42626953125,0.093814411394494,0.0139594748739559
"var36",997.096069335938,0.0914008010477967,0.0136003324725975
"num_med_var22_ult3",984.830993652344,0.0902764984084945,0.0134330375526511
"ind_var5",883.565124511719,0.0809937604227567,0.0120517769792779
"num_op_var39_efect_ult3",681.407287597656,0.0624625588662798,0.00929435582546325
"num_op_var41_efect_ult3",675.3486328125,0.0619071801844601,0.00921171612609135
"num_op_var41_ult3",661.222534179688,0.0606122831625722,0.00901903696120917
"imp_op_var39_efect_ult1",657.571228027344,0.0602775788973982,0.00896923335736567
"num_op_var39_ult3",628.5224609375,0.0576147656910129,0.00857300986146518
"imp_op_var41_ult1",617.866455078125,0.0566379616482836,0.00842766256046342
"imp_op_var39_ult1",612.320373535156,0.0561295690156245,0.00835201433034378
"imp_op_var41_efect_ult1",602.198791503906,0.0552017539996217,0.00821395653931734
"num_op_var39_efect_ult1",594.517150878906,0.0544976010818854,0.00810917940735593
"num_op_var41_hace2",590.694458007812,0.0541471863111097,0.00805703809862313
"num_op_var41_efect_ult1",589.644897460938,0.0540509762490277,0.00804272215372414
"num_op_var39_hace2",577.172546386719,0.0529076732973952,0.00787260000948852
"num_op_var39_ult1",574.291015625,0.0526435320296031,0.0078332960972632
"num_op_var41_comer_ult3",573.506958007812,0.0525716598234211,0.00782260159690425
"imp_op_var41_comer_ult1",572.917114257812,0.0525175906189572,0.00781455616241344
"num_op_var41_ult1",565.27685546875,0.0518172310497957,0.00771034347629069
"imp_op_var41_efect_ult3",558.423767089844,0.0511890290271956,0.00761686774884219
"imp_op_var41_comer_ult3",549.283264160156,0.0503511465849255,0.00749219181977821
"imp_op_var39_comer_ult1",531.542663574219,0.0487249190282332,0.00725021105819222
"num_op_var39_comer_ult3",516.892517089844,0.0473819841142171,0.00705038391105237
"imp_op_var39_comer_ult3",488.139892578125,0.0447463174082518,0.00665819978271701
"imp_op_var39_efect_ult3",486.092712402344,0.0445586585519891,0.00663027636402328
"num_ent_var16_ult1",474.754638671875,0.043519331396689,0.00647562569687553
"num_op_var41_comer_ult1",463.969116210938,0.042530654956208,0.00632851179695102
"num_op_var39_comer_ult1",462.411163330078,0.0423878420962595,0.00630726141014482
"saldo_var30",417.582458496094,0.0382785294053668,0.0056958004799416
"num_var37_0",391.369812011719,0.0358756948541783,0.00533826150437268
"saldo_var42",376.878234863281,0.0345472955147894,0.00514059723376503
"num_meses_var8_ult3",374.624572753906,0.0343407090800188,0.00510985741348993
"num_var37",374.596130371094,0.0343381018522373,0.00510946946104035
"saldo_medio_var5_ult1",368.646392822266,0.033792707286246,0.00502831538644586
"num_var43_emit_ult1",366.988433837891,0.0336407271672419,0.00500570092219625
"ind_var43_emit_ult1",364.823669433594,0.0334422897180157,0.00497617366145507
"ind_var43_recib_ult1",360.811126708984,0.0330744719815441,0.00492144281174715
"saldo_var5",359.669708251953,0.0329698415808117,0.00490587393028889
"saldo_medio_var5_ult3",348.211639404297,0.0319195148336266,0.00474958653671224
"num_var37_med_ult2",338.275482177734,0.0310086971523881,0.00461405792925193
"ind_var8_0",319.389953613281,0.0292775174876726,0.00435646041653847
"num_var41_0",306.631774902344,0.0281080135753091,0.0041824395999394
"num_var8_0",304.646514892578,0.0279260307546351,0.00415536076871369
"num_var39_0",297.026763916016,0.0272275510750327,0.00405142780796231
"saldo_medio_var5_hace2",291.582427978516,0.0267284851563473,0.0039771673819917
"num_var43_recib_ult1",291.426818847656,0.0267142209348261,0.00397504488248484
"saldo_var37",257.132415771484,0.0235705560373146,0.00350727121640686
"num_var30_0",244.183090209961,0.0223835302674304,0.00333064316786795
"num_var5_0",239.809982299805,0.0219826606036648,0.00327099422997145
"imp_ent_var16_ult1",225.956161499023,0.0207127224726205,0.00308202891890378
"num_var42_0",217.301574707031,0.0199193825028295,0.00296398085773508
"saldo_var26",203.337585449219,0.0186393455603141,0.00277351285531229
"saldo_medio_var8_ult3",201.284591674805,0.0184511537889308,0.00274551013947088
"ind_var37",197.58219909668,0.0181117665845871,0.00269500971974691
"saldo_var8",197.578216552734,0.0181114015167486,0.00269495539807881
"ind_var37_0",188.699523925781,0.0172975184383596,0.00257385054633771
"saldo_var25",186.877029418945,0.0171304558423342,0.00254899182711825
